run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s3_T5000_sonnet_gate_538""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,538,"""b4""",false,0.45882300091294603,"""62ea4bfa9d02d603""",2,77,81,1,true,"""PASS""",1.20935356940261,0.3869069427331122,1.0232361213702428,0.0014998500149985001,0.65,0.35,0.3362176861085369,2,1,[0.9876543209876543],true,true,false,"[""claude-sonnet-5""]",[],false,18,7581,63962,12975,0,0.14053840000000004,155.5959348678589
"""s3_T5000_sonnet_control_539""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,539,"""b4""",false,0.4610246611359706,"""62ea4bfa9d02d603""",3,68,69,0,true,"""PASS""",1.2503515884850058,0.42669313927043606,1.0219896416561611,0.0006999300069993001,0.6,0.35,0.3915349169392458,0,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6596,36827,11127,0,0.1178574,143.20053124427795
"""s3_T5000_sonnet_gate_540""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,540,"""b4""",false,0.4536426895090868,"""62ea4bfa9d02d603""",3,155,162,3,true,"""FAIL""",0.9219323349589378,0.09994539789472356,1.0261718691686441,0.1852814718528147,0.55,0.35,-0.00011417311589044457,2,2,"[0.5925925925925926, 0.9074074074074074]",false,true,false,"[""claude-sonnet-5""]",[],false,32,15941,228002,25425,0,0.30677439999999995,223.26462984085083
"""s3_T5000_sonnet_control_541""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,541,"""b4""",false,0.4621666543785699,"""62ea4bfa9d02d603""",0,80,81,0,true,"""PASS""",1.045704137842791,0.22344451254143416,1.0213433659055655,0.034096590340965904,0.6,0.3,0.25252320370178405,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,8061,51759,13198,0,0.14378180000000002,149.49886107444763
"""s3_T5000_sonnet_gate_542""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,542,"""b4""",false,0.4613868425727903,"""62ea4bfa9d02d603""",0,103,108,2,true,"""PASS""",1.2029016800549437,0.38167819730140895,1.0217846568353164,0.0016998300169983002,0.7,0.4,0.8856068803144838,2,1,[0.9444444444444444],true,true,false,"[""claude-sonnet-5""]",[],false,22,10397,102994,17210,0,0.19345280000000004,163.95750308036804
"""s3_T5000_sonnet_control_543""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,543,"""b4""",false,0.45423591601288543,"""62ea4bfa9d02d603""",1,79,82,2,true,"""FAIL""",0.9746835366639516,0.15040422037651424,1.0258354631229876,0.1044895510448955,0.5,0.35,0.03285311197423948,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,8042,61690,13223,0,0.145682,158.08256101608276
"""s3_T5000_sonnet_gate_544""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,544,"""b4""",false,0.45727311289845124,"""62ea4bfa9d02d603""",1,75,77,0,true,"""PASS""",1.1295082749857204,0.30646910762789414,1.024114024049674,0.007399260073992601,0.75,0.35,0.008270630029261457,3,1,[0.987012987012987],true,true,false,"[""claude-sonnet-5""]",[],false,14,7156,51209,12337,0,0.1311778,117.60990333557129
"""s3_T5000_sonnet_control_545""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,545,"""b4""",false,0.4627176521940447,"""62ea4bfa9d02d603""",2,77,81,3,true,"""FAIL""",0.6627118621741463,-0.16005011813180647,1.0210316091869533,0.9303069693030697,0.35,0.3,0.8151875834216656,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,7681,51652,12907,0,0.1387964,143.71326398849487
"""s3_T5000_sonnet_gate_546""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,546,"""b4""",false,0.4609700711592197,"""62ea4bfa9d02d603""",2,68,72,1,true,"""PASS""",1.1073282261176847,0.2843289429457151,1.0220205396775683,0.011898810118988102,0.7,0.35,0.5108125032521379,0,1,[0.9861111111111112],true,true,false,"[""claude-sonnet-5""]",[],false,16,6881,45551,11716,0,0.1248162,143.86081218719482
"""s3_T5000_sonnet_control_547""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,547,"""b4""",false,0.4531378731566063,"""62ea4bfa9d02d603""",3,69,70,0,true,"""PASS""",1.2100476481593907,0.3852289508949821,1.0264581858791557,0.0015998400159984002,0.75,0.35,0.21555575879169334,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6710,37608,11283,0,0.11977759999999998,136.9992320537567
"""s3_T5000_sonnet_gate_548""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,548,"""b4""",false,0.4635215782306029,"""62ea4bfa9d02d603""",3,135,139,1,false,"""no_submit""",null,null,null,null,null,null,null,3,2,"[0.5755395683453237, 1.0]",true,false,false,"[""claude-sonnet-5""]",[],false,120,14387,997983,23503,0,0.4377186,179.74616289138794
"""s3_T5000_sonnet_control_549""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,549,"""b4""",false,0.4580116337089707,"""62ea4bfa9d02d603""",0,75,77,1,true,"""FAIL""",0.9347968719846638,0.11127766917611925,1.0236956588135127,0.16228377162283772,0.55,0.3,1.192177166933493,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7508,39407,12405,0,0.13260539999999998,152.7928819656372
"""s3_T5000_sonnet_gate_550""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,550,"""b4""",false,0.4511180162689246,"""62ea4bfa9d02d603""",0,164,172,2,true,"""PASS""",1.0387828569640447,0.21434557466223103,1.0276042227668407,0.0413958604139586,0.55,0.35,1.2786167643721218,5,2,"[0.5581395348837209, 0.9825581395348837]",true,true,false,"[""claude-sonnet-5""]",[],false,36,16499,252633,26666,0,0.32225260000000006,219.67853808403015
"""s3_T5000_sonnet_control_551""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,551,"""b4""",false,0.45877808536248244,"""62ea4bfa9d02d603""",1,62,63,0,true,"""PASS""",1.3986835543737814,0.5750571547769351,1.0232615578206925,0.00019998000199980003,0.75,0.4,1.2667360532576555,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6298,35623,10396,0,0.1117126,132.7985520362854
"""s3_T5000_sonnet_gate_552""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,552,"""b4""",false,0.46614530874537236,"""62ea4bfa9d02d603""",1,148,156,3,true,"""PASS""",1.129940075628582,0.3093014007947166,1.0190931128740763,0.007499250074992501,0.65,0.35,1.6096412208487474,0,2,"[0.5576923076923077, 0.9294871794871795]",true,true,false,"[""claude-sonnet-5""]",[],false,32,15028,205437,24371,0,0.2889154,165.89044189453125
"""s3_T5000_sonnet_control_553""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,553,"""b4""",false,0.45841592270626486,"""62ea4bfa9d02d603""",2,84,86,1,true,"""PASS""",1.023583576002617,0.20032057024347494,1.0234666676941444,0.04989501049895011,0.55,0.35,-0.2861899052063632,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,8249,42039,13558,0,0.14515379999999997,156.784255027771
"""s3_T5000_sonnet_gate_554""","""gate""","""claude-sonnet-5""","""s3""",null,194.40679000487614,554,"""b4""",false,0.45187562108462775,"""62ea4bfa9d02d603""",2,70,73,0,true,"""PASS""",1.3586219059357547,0.5356674423539144,1.0271742864708815,9.999000099990002e-05,0.75,0.45,0.6850670095335436,3,1,[0.9178082191780822],true,true,false,"[""claude-sonnet-5""]",[],false,20,7081,65510,12060,0,0.132192,133.4800319671631
"""s3_T5000_sonnet_control_555""","""control""","""claude-sonnet-5""","""s3""",null,194.40679000487614,555,"""b4""",false,0.45857280301887177,"""62ea4bfa9d02d603""",3,104,108,3,true,"""FAIL""",0.8296541117567174,0.006833958959541975,1.0233778165492586,0.45395460453954606,0.45,0.35,0.1678671885680304,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,10382,73257,16840,0,0.1858634,166.90747213363647
