run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s0_T5000_fable_control_471""","""control""","""claude-fable-5-1""","""s0""",null,1.0,471,"""b3""",false,0.4586635242103974,"""3c0dca81a87d0a5c""",3,46,47,0,true,"""FAIL""",1.0127437353867126,0.18894905069096746,1.0233264371261326,0.05829417058294171,0.3,0.35,0.6790563412472089,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,5604,73738,8821,1318,0.47515450000000004,135.52938103675842
"""s0_T5000_sonnet_gate_472""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,472,"""b3""",false,0.4559721510892344,"""3c0dca81a87d0a5c""",2,167,173,1,true,"""FAIL""",0.8702458814162035,0.044426891377152944,1.024851211179395,0.33336666333366666,0.4,0.35,-0.6136828000993273,1,3,"[0.4046242774566474, 0.7341040462427746, 0.9942196531791907]",false,true,false,"[""claude-sonnet-5""]",[],false,32,17203,387815,26933,0,0.357389,225.70594596862793
"""s0_T5000_fable_gate_473""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,473,"""b3""",false,0.46406251740933424,"""3c0dca81a87d0a5c""",3,46,48,0,true,"""FAIL""",0.9400702763759303,0.11917382433924684,1.0202708479055311,0.15028497150284972,0.15,0.4,0.5843717311145263,0,1,[0.9791666666666666],false,true,false,"[""claude-fable-5-1""]",[],false,8,6193,43689,18767,1959,0.6959922499999999,149.40420007705688
"""s0_T5000_sonnet_pushed_474""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,474,"""b3""",false,0.4621407269006358,"""3c0dca81a87d0a5c""",2,96,97,0,true,"""FAIL""",0.714980710185949,-0.1079136742323682,1.0213580367812567,0.8251174882511749,0.35,0.3,0.6867497027844773,1,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,9533,134955,17919,0,0.19402500000000003,144.81526494026184
"""s0_T5000_fable_pushed_475""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,475,"""b3""",false,0.4561668154550412,"""3c0dca81a87d0a5c""",3,46,47,0,true,"""FAIL""",0.6278620652158824,-0.19491318221622644,1.024740888225201,0.9635036496350365,0.1,0.3,0.07731735077228184,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,10,4890,76069,9351,668,0.45063724999999993,123.40022492408752
"""s0_T5000_sonnet_control_476""","""control""","""claude-sonnet-5""","""s0""",null,1.0,476,"""b3""",false,0.46208236094578625,"""3c0dca81a87d0a5c""",0,101,104,2,true,"""FAIL""",0.9353079937882189,0.1134103634508995,1.0213910630674843,0.16078392160783922,0.45,0.35,0.23634273516514362,2,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,16,10040,157050,16404,0,0.197458,118.8822090625763
"""s0_T5000_fable_control_477""","""control""","""claude-fable-5-1""","""s0""",null,1.0,477,"""b3""",false,0.4670090070709202,"""3c0dca81a87d0a5c""",1,44,45,0,true,"""FAIL""",0.997416816282877,0.1743653809990534,1.0186048817175926,0.06879312068793121,0.3,0.4,-1.1659836513066166,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,5431,58768,8470,1254,0.45572199999999996,125.55522298812866
"""s0_T5000_sonnet_gate_478""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,478,"""b3""",false,0.4646230626267701,"""3c0dca81a87d0a5c""",0,157,162,1,true,"""FAIL""",0.6213557618911577,-0.2007123191472624,1.0199538286331595,0.9665033496650335,0.3,0.25,0.5168911598428171,2,2,"[0.47530864197530864, 0.9753086419753086]",false,true,false,"[""claude-sonnet-5""]",[],false,26,15798,290695,26519,0,0.322247,158.7290530204773
"""s0_T5000_fable_gate_479""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,479,"""b3""",false,0.4596173043765775,"""3c0dca81a87d0a5c""",1,44,46,0,true,"""FAIL""",0.6982267984328049,-0.12414870832558667,1.022786342504823,0.8626137386261374,0.05,0.3,-0.47720888935303885,0,1,[0.8913043478260869],false,true,false,"[""claude-fable-5-1""]",[],false,12,4612,89844,7757,458,0.408321,144.22018599510193
"""s0_T5000_sonnet_pushed_480""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,480,"""b3""",false,0.4628892083009305,"""3c0dca81a87d0a5c""",0,121,124,2,true,"""FAIL""",0.6764562953883938,-0.14413135962329615,1.0209345503617728,0.9027097290270973,0.35,0.25,-0.09231559693017309,4,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,14,11907,151736,22112,0,0.23789320000000003,126.44485569000244
